Title,Start,End,Mark,URL
Открытие сезона!,4/29/17 09:00 AM,4/29/17 20:00 AM,Success,
Прыжковый день,4/30/17 09:00 AM,4/30/17 20:00 AM,Important,
Прыжковый день,5/6/17 09:00 AM,5/6/17 20:00 AM,Info,
Прыжковый день,5/7/17 09:00 AM,5/7/17 20:00 AM,Info,
Запрет полётов,5/13/17 09:00 AM,5/13/17 20:00 AM,Warning,
Запрет полётов,5/14/17 09:00 AM,5/14/17 20:00 AM,Warning,
Прыжковый день,5/20/17 09:00 AM,5/20/17 20:00 AM,Info,
Прыжковый день,5/21/17 09:00 AM,5/21/17 20:00 AM,Info,
Прыжковый день,5/27/17 09:00 AM,5/27/17 20:00 AM,Info,
Прыжковый день,5/28/17 09:00 AM,5/28/17 20:00 AM,Info,
Прыжковый день,6/3/17 09:00 AM,6/3/17 20:00 AM,Info,
Прыжковый день,6/4/17 09:00 AM,6/4/17 20:00 AM,Info,
Прыжковый день,6/5/17 09:00 AM,6/5/17 20:00 AM,Info,
Прыжковый день,6/10/17 09:00 AM,6/10/17 20:00 AM,Info,
Прыжковый день,6/11/17 09:00 AM,6/11/17 20:00 AM,Info,
Прыжковый день,6/17/17 09:00 AM,6/17/17 20:00 AM,Info,
Прыжковый день,6/18/17 09:00 AM,6/18/17 20:00 AM,Info,
Прыжковый день,6/24/17 09:00 AM,6/24/17 20:00 AM,Info,
Прыжковый день,6/25/17 09:00 AM,6/25/17 20:00 AM,Info,
Прыжковый день,7/1/17 09:00 AM,7/1/17 20:00 AM,Info,
Прыжковый день,7/2/17 09:00 AM,7/2/17 20:00 AM,Info,
Прыжковый день,7/8/17 09:00 AM,7/8/17 20:00 AM,Info,
Прыжковый день,7/9/17 09:00 AM,7/9/17 20:00 AM,Info,
Прыжковый день,7/15/17 09:00 AM,7/15/17 20:00 AM,Info,
Прыжковый день,7/16/17 09:00 AM,7/16/17 20:00 AM,Info,
Прыжковый день,7/22/17 09:00 AM,7/22/17 20:00 AM,Info,
Прыжковый день,7/23/17 09:00 AM,7/23/17 20:00 AM,Info,
Прыжковый день,7/29/17 09:00 AM,7/29/17 20:00 AM,Info,
Прыжковый день,7/30/17 09:00 AM,7/30/17 20:00 AM,Info,
Закриття сезону,11/05/17 09:00 AM,11/05/17 20:00 AM,Important,
Відкриття сезону!,4/28/18 09:00 AM,4/28/18 20:00 AM,Success,
UEFA,5/26/18 09:00 AM,5/27/18 20:00 AM,Warning,
Skydive weekend,6/9/18 09:00 AM,6/10/18 20:00 AM,Info,
Skydive weekend,6/16/18 09:00 AM,6/17/18 20:00 AM,Info,
Skydive weekend,6/23/18 09:00 AM,6/24/18 20:00 AM,Info,
Skydive weekend,6/29/18 09:00 AM,7/1/18 20:00 AM,Info,
Rainy weather,7/1/18 09:00 AM,7/1/18 20:00 AM,Warning,
Skydive weekend,7/7/18 09:00 AM,7/8/18 20:00 AM,Info,
Skydive weekend,7/14/18 09:00 AM,7/15/18 20:00 AM,Info,
Skydive weekend,7/21/18 09:00 AM,7/22/18 20:00 AM,Info,
Skydive weekend,7/28/18 09:00 AM,7/29/18 20:00 AM,Info,
Skydive weekend,8/4/18 09:00 AM,8/5/18 20:00 AM,Info,
Skydive weekend,8/11/18 09:00 AM,8/12/18 20:00 AM,Info,
Skydive weekend,8/18/18 09:00 AM,8/19/18 20:00 AM,Info,
Skydive weekend,8/24/18 09:00 AM,8/26/18 20:00 AM,Info,
